player_name,position,age,current_club,interested_club,contract_expiry_date,market_value,last_updated,probability,loaded_at
Fernando Beltrán,Central Midfield,27,Chivas,León,"Dec 31, 2026",€4.00m,29.05.2025 - 09:00,65,2025-05-30 11:21:20
Valentin Costache,Left Winger,26,UTA Arad,FC Dinamo,"Jun 30, 2025",€650k,29.05.2025 - 08:19,0,2025-05-30 11:21:20
Saud Abdulhamid,Right-Back,25,AS Roma,Lens,"Jun 30, 2028",€4.00m,29.05.2025 - 01:07,73,2025-05-30 11:21:20
Saud Abdulhamid,Right-Back,25,AS Roma,Toulouse,"Jun 30, 2028",€4.00m,29.05.2025 - 00:40,20,2025-05-30 11:21:20
Luis Henrique,Right Winger,23,Marseille,Inter,"Jun 30, 2028",€18.00m,29.05.2025 - 00:33,61,2025-05-30 11:21:20
Marcus Rashford,Left Winger,27,Man Utd,Barcelona,"Jun 30, 2025",€50.00m,29.05.2025 - 00:31,50,2025-05-30 11:21:20
Lawrence Agyekum,Central Midfield,21,RB Salzburg,R. Strasbourg,"Jun 30, 2025",€1.50m,29.05.2025 - 00:23,0,2025-05-30 11:21:20
Lawrence Agyekum,Central Midfield,21,RB Salzburg,Feyenoord,"Jun 30, 2025",€1.50m,29.05.2025 - 00:21,0,2025-05-30 11:21:20
Sindre Walle Egeli,Right Winger,18,Nordsjaelland,LOSC Lille,"Jun 30, 2028",€7.00m,29.05.2025 - 00:20,51,2025-05-30 11:21:20
Milos Kerkez,Left-Back,21,Bournemouth,Liverpool,"Jun 30, 2028",€35.00m,29.05.2025 - 00:19,95,2025-05-30 11:21:20
Mark Flekken,Goalkeeper,31,Brentford,B. Leverkusen,"Jun 30, 2027",€10.00m,29.05.2025 - 00:16,0,2025-05-30 11:21:20
Youssef Aït Bennasser,Defensive Midfield,28,Samsunspor,Wydad AC,"Jun 30, 2025",€1.20m,28.05.2025 - 21:50,70,2025-05-30 11:21:20
Andrija Maksimovic,Attacking Midfield,17,Red Star,Paris SG,"Jun 30, 2027",€10.00m,28.05.2025 - 17:48,73,2025-05-30 11:21:20
Abubacarr Sedi Kinteh,Centre-Back,18,Tromsø,Slavia Prague,"Dec 31, 2029",-,28.05.2025 - 17:44,60,2025-05-30 11:21:20
